id,title,fullTitle,year,releaseState,image,runtimeMins,runtimeStr,plot,contentRating,imDbRating,imDbRatingCount,metacriticRating,genres,genreList,directors,directorList,stars,starList
tt15398776,Oppenheimer,Oppenheimer (2023),2023,21 Jul 2023,https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_Ratio0.6699_AL_.jpg,180,180 mins,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",R,8.6,434780,88,"Biography, Drama, History","[{'key': 'Biography', 'value': 'Biography'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'History', 'value': 'History'}]",Christopher Nolan,"[{'id': 'nm0634240', 'name': 'Christopher Nolan'}]","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.","[{'id': 'nm0614165', 'name': 'Cillian Murphy'}, {'id': 'nm1289434', 'name': 'Emily Blunt'}, {'id': 'nm0000354', 'name': 'Matt Damon'}, {'id': 'nm0000375', 'name': 'Robert Downey Jr.'}]"
tt1517268,Barbie (I),Barbie (I) (2023),2023,21 Jul 2023,https://m.media-amazon.com/images/M/MV5BNjU3N2QxNzYtMjk1NC00MTc4LTk1NTQtMmUxNTljM2I0NDA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6699_AL_.jpg,114,114 mins,Barbie suffers a crisis that leads her to question her world and her existence.,PG-13,7.2,314227,80,"Adventure, Comedy, Fantasy","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",Greta Gerwig,"[{'id': 'nm1950086', 'name': 'Greta Gerwig'}]","Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon","[{'id': 'nm3053338', 'name': 'Margot Robbie'}, {'id': 'nm0331516', 'name': 'Ryan Gosling'}, {'id': 'nm4793987', 'name': 'Issa Rae'}, {'id': 'nm0571952', 'name': 'Kate McKinnon'}]"
tt17024450,The Equalizer 3,The Equalizer 3 (2023),2023,01 Sep 2023,https://m.media-amazon.com/images/M/MV5BODdiMzM2YjctZmU3ZS00MzUwLWJiYTMtMmI2NzIyMTQyOTQ1XkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_Ratio0.7943_AL_.jpg,109,109 mins,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",R,7.1,17968,58,"Action, Crime, Thriller","[{'key': 'Action', 'value': 'Action'}, {'key': 'Crime', 'value': 'Crime'}, {'key': 'Thriller', 'value': 'Thriller'}]",Antoine Fuqua,"[{'id': 'nm0298807', 'name': 'Antoine Fuqua'}]","Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman","[{'id': 'nm0000243', 'name': 'Denzel Washington'}, {'id': 'nm0266824', 'name': 'Dakota Fanning'}, {'id': 'nm5177845', 'name': 'Eugenio Mastrandrea'}, {'id': 'nm0219292', 'name': 'David Denman'}]"
tt10160976,The Nun II,The Nun II (2023),2023,08 Sep 2023,https://m.media-amazon.com/images/M/MV5BNmE5MmM2ZGEtNTVlNC00M2Q3LTliMjMtMzg5YjUyMjliZWIzXkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_Ratio0.7943_AL_.jpg,110,110 mins,"1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun.",R,6,14016,47,"Horror, Mystery, Thriller","[{'key': 'Horror', 'value': 'Horror'}, {'key': 'Mystery', 'value': 'Mystery'}, {'key': 'Thriller', 'value': 'Thriller'}]",Michael Chaves,"[{'id': 'nm1980431', 'name': 'Michael Chaves'}]","Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell","[{'id': 'nm3920288', 'name': 'Taissa Farmiga'}, {'id': 'nm2997552', 'name': 'Jonas Bloquet'}, {'id': 'nm4977564', 'name': 'Storm Reid'}, {'id': 'nm0691600', 'name': 'Anna Popplewell'}]"
tt15354916,Jawan,Jawan (2023),2023,07 Sep 2023,https://m.media-amazon.com/images/M/MV5BOTE5YjY5MTItYTBmZi00NDhhLWFiOTItYjdjODRhZDA1YjM4XkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_Ratio0.6986_AL_.jpg,169,169 mins,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Not Rated,7.7,50608,,"Action, Thriller","[{'key': 'Action', 'value': 'Action'}, {'key': 'Thriller', 'value': 'Thriller'}]",Atlee,"[{'id': 'nm5961051', 'name': 'Atlee'}]","Nayanthara, Shah Rukh Khan, Vijay Sethupathi, Deepika Padukone","[{'id': 'nm1521381', 'name': 'Nayanthara'}, {'id': 'nm0451321', 'name': 'Shah Rukh Khan'}, {'id': 'nm4043111', 'name': 'Vijay Sethupathi'}, {'id': 'nm2138653', 'name': 'Deepika Padukone'}]"
tt8589698,Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem (2023),2023,02 Aug 2023,https://m.media-amazon.com/images/M/MV5BYzE4MTllZTktMTIyZS00Yzg1LTg1YzAtMWQwZTZkNjNkODNjXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_Ratio0.6699_AL_.jpg,99,99 mins,The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,PG,7.3,34455,74,"Animation, Action, Adventure","[{'key': 'Animation', 'value': 'Animation'}, {'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}]","Jeff Rowe, Kyler Spears","[{'id': 'nm6676487', 'name': 'Jeff Rowe'}, {'id': 'nm5859016', 'name': 'Kyler Spears'}]","Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon","[{'id': 'nm9368660', 'name': 'Micah Abbey'}, {'id': 'nm8366356', 'name': 'Shamon Brown Jr.'}, {'id': 'nm7751235', 'name': 'Nicolas Cantu'}, {'id': 'nm4054776', 'name': 'Brady Noon'}]"
tt17527468,Bottoms,Bottoms (2023),2023,11 Mar 2023,https://m.media-amazon.com/images/M/MV5BZWZkZjE2OGYtN2RiMS00ZDE5LWFlZGQtYzI1OTNhZDZkYzM3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_Ratio0.6699_AL_.jpg,91,91 mins,Two unpopular queer high school students start a fight club to have sex before graduation.,R,7.6,5224,77,Comedy,"[{'key': 'Comedy', 'value': 'Comedy'}]",Emma Seligman,"[{'id': 'nm7681231', 'name': 'Emma Seligman'}]","Rachel Sennott, Ayo Edebiri, Ruby Cruz, Havana Rose Liu","[{'id': 'nm6976735', 'name': 'Rachel Sennott'}, {'id': 'nm8731249', 'name': 'Ayo Edebiri'}, {'id': 'nm9342097', 'name': 'Ruby Cruz'}, {'id': 'nm10023988', 'name': 'Havana Rose Liu'}]"
tt22687790,A Haunting in Venice,A Haunting in Venice (2023),2023,15 Sep 2023,https://m.media-amazon.com/images/M/MV5BYmI4MzE2YjQtYWMxYi00MjBhLThhOTYtYjdiOGQ4NzE4MWViXkEyXkFqcGdeQXVyMzUwNDIxMjQ@._V1_Ratio0.7943_AL_.jpg,103,103 mins,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.",PG-13,6.8,8564,63,"Crime, Drama, Horror","[{'key': 'Crime', 'value': 'Crime'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Horror', 'value': 'Horror'}]",Kenneth Branagh,"[{'id': 'nm0000110', 'name': 'Kenneth Branagh'}]","Kenneth Branagh, Michelle Yeoh, Jamie Dornan, Tina Fey","[{'id': 'nm0000110', 'name': 'Kenneth Branagh'}, {'id': 'nm0000706', 'name': 'Michelle Yeoh'}, {'id': 'nm1946193', 'name': 'Jamie Dornan'}, {'id': 'nm0275486', 'name': 'Tina Fey'}]"
tt7599146,Sound of Freedom,Sound of Freedom (2023),2023,04 Jul 2023,https://m.media-amazon.com/images/M/MV5BNTAwNWQ1ZjQtZDFmMC00YjNlLWFlNjItMjJlYzZkMjJlNzkyXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_Ratio0.6699_AL_.jpg,131,131 mins,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.,PG-13,7.8,56794,36,"Action, Biography, Crime","[{'key': 'Action', 'value': 'Action'}, {'key': 'Biography', 'value': 'Biography'}, {'key': 'Crime', 'value': 'Crime'}]",Alejandro Monteverde,"[{'id': 'nm1920049', 'name': 'Alejandro Monteverde'}]","Jim Caviezel, Mira Sorvino, Bill Camp, Cristal Aparicio","[{'id': 'nm0001029', 'name': 'Jim Caviezel'}, {'id': 'nm0000227', 'name': 'Mira Sorvino'}, {'id': 'nm0131966', 'name': 'Bill Camp'}, {'id': 'nm10750217', 'name': 'Cristal Aparicio'}]"
tt9362930,Blue Beetle,Blue Beetle (2023),2023,18 Aug 2023,https://m.media-amazon.com/images/M/MV5BMmY1ODUzZGItNDllOS00MDBhLTg4NmUtYjU4YjUxMGNlYmMwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6699_AL_.jpg,127,127 mins,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.",PG-13,6.7,29172,61,"Action, Adventure, Sci-Fi","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Sci-Fi', 'value': 'Sci-Fi'}]",Angel Manuel Soto,"[{'id': 'nm3924049', 'name': 'Angel Manuel Soto'}]","Xolo Maridueña, Bruna Marquezine, Becky G, Damián Alcázar","[{'id': 'nm4927704', 'name': 'Xolo Maridueña'}, {'id': 'nm1367490', 'name': 'Bruna Marquezine'}, {'id': 'nm3121384', 'name': 'Becky G'}, {'id': 'nm0017343', 'name': 'Damián Alcázar'}]"
tt4495098,Gran Turismo,Gran Turismo (2023),2023,25 Aug 2023,https://m.media-amazon.com/images/M/MV5BMTI1YjFmN2UtOWZhOC00MjkwLTg2ZjgtNDQ5NDQ3YWNmNGRkXkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_Ratio0.6699_AL_.jpg,134,134 mins,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.",PG-13,7.4,23160,48,"Action, Adventure, Drama","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Drama', 'value': 'Drama'}]",Neill Blomkamp,"[{'id': 'nm0088955', 'name': 'Neill Blomkamp'}]","David Harbour, Orlando Bloom, Archie Madekwe, Takehiro Hira","[{'id': 'nm1092086', 'name': 'David Harbour'}, {'id': 'nm0089217', 'name': 'Orlando Bloom'}, {'id': 'nm5994098', 'name': 'Archie Madekwe'}, {'id': 'nm3042346', 'name': 'Takehiro Hira'}]"
